微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwtvCrZKK,【上海闵行Costco超市疑发生火灾，顶楼冒出黑烟】2月29日傍晚，上海Costco超市疑发生火灾，顶楼有黑烟冒出。目前，多辆消防车已到达现场。从消防部门获悉，2020年2月29日17时37分许，市消防指挥中心接警，位于闵行区华漕镇朱建路235号开市客超市（costco）4层停车场西北角处设备房起火冒烟，过火面积约5平方米，无人员伤亡。目前火灾已扑灭，烟气热量已排散。起火原因正在调查中。（澎湃新闻）沸点视频的秒拍视频                                 ,无,2020-02-29 20:17,微博 weibo.com,36,12,11
Iwthl8bF4,【快递小哥可以进小区了，#上海发放首张小区快递出入证#】 在保障自身健康安全的前提下，快递小哥送货也在迎来政策便利。28日上午，上海浦东新区沪东新村街道防控疫情指挥部向京东物流快递员徐军颁发“无接触式快递员小区出入证”，他成为疫情发生后上海首位被允许重新进入小区派送的快递员。（央视）  原图 ,无,2020-02-29 19:42,无,55,17,24
Iwt2Ni8Ti,【微信全面封禁字节跳动旗下办公产品飞书】36氪获悉，2月29日，字节跳动旗下办公套件飞书发布官方公告称，飞书相关域名无故被微信全面封禁，并且被单方面关闭微信分享API接口。早在28日下午，微信就已封禁了飞书域名。当时相关页面显示，因飞书“网页包含诱导分享、关注等诱导行为内容，被多人投诉”而停止访问。在飞书方面进行申诉3个小时后，微信官方并未进行任何回复和理由说明，但访问页面提示变为“请长按网址复制后使用浏览器访问”。             [组图共2张]      原图                             ,无,2020-02-29 19:06,微博 weibo.com,372,59,168
IwsMvi7Xu,36氪#暖冬计划#“超级增长季“，打造线上获客解决方案，寻找更多增长机会。首场“B端增长大会”邀请阿里云、火眼云、纷享销客、以太一堂、达晨财智，从精准获客、高效增长、在线销售方向带来分享和现场福利！欢迎点击评论区链接观看直播~  [组图共6张] 原图 ,无,2020-02-29 18:26,微博 weibo.com,8,7,1
IwsBqiI54,【#北京新冠肺炎确诊患者死亡率约1.9%#，提出3个不得擅自预防输入病例】2月29日，在北京市新型冠状病毒肺炎防控工作新闻发布会上，北京市卫健委新闻发言人高小俊说，截至2月28日24时，北京市累计报告确诊病例411例，已治愈出院病例271例，治愈率65.9%；死亡病例8例，死亡率约1.9%。北京市政府副秘书长陈蓓表示，根据首都疫情防控需要，按照四方责任的要求，明确任何单位、任何人#不得擅自前往湖北接人进京#，不得擅自前往其他地方接离鄂人员进京，不得擅自接全国确诊病例、疑似病例、发热症状患者、密切接触者等4类人员进京。#北京3个不得擅自#人民网的微博视频                                 ,无,2020-02-29 17:59,微博 weibo.com,21,6,8
IwsqLzgli,【#物理学家弗里曼戴森去世#】2月29日，著名物理学家弗里曼·戴森逝世，享年96岁。戴森从未获得博士学位，却在许多学科中提出革命性见解。他知识丰富，见解深邃，他提出“生物学是21世纪的科学”，他的“戴森球”是科幻和天文爱好者讨论的焦点。梨视频文化的秒拍视频  ,无,2020-02-29 17:32,微博 weibo.com,89,51,13
Iwseu5UGS,【百程旅行网因疫情影响破产清算，阿里为第二大股东】2月29日下午消息，出境游服务机构百程旅行网于28日发布内部通知，称因新冠肺炎疫情影响，资金不能维系公司继续运转，决定关闭公司并启动清算准备。该内部文件称，将于3月10日先行支付员工1月薪资，3月起将不再为员工缴纳五险一金及发放工资。所有...全文 原图 ,无,2020-02-29 17:02,微博 weibo.com,253,84,48
IwsduDVyu,36氪将联合@飞书 共同首次尝试大型线上直播峰会，WISEx新效率时代峰会。覆盖零售、企服、互联网、医疗健康等多个赛道，梳理挑战、探讨高效增长的长期解决方案，重新思考行业未来模式和商业路径，3月3日，期待与您一起探讨商业新机遇。  原图 ,无,2020-02-29 17:00,微博 weibo.com,9,4,2
IwrXydu2h,【#上海零售行业全面复工复市#】上海市商务委副主任刘敏介绍，截至目前，上海零售行业中的超市卖场累计开业接近100%；购物中心和百货企业95%左右已正常营业；便利店企业开业91.4%。电商行业的主要企业已全部复工。主副食品行业中的农产品批发市场已全部恢复经营，菜市场开业率97.8%。 你公司复工了吗？                                 ,无,2020-02-29 16:20,无,2209,4,8
IwrPpecwM,【#钟南山领衔在顶级医学期刊发文#：不要误读潜伏期中最小最大值】由国家卫健委高级别专家组组长、中国工程院院士钟南山领衔的“中国2019新型冠状病毒疾病的临床特征”研究论文在顶级医学期刊《新英格兰医学杂志》（NEJM）上在线公开发表。该研究纳入了自2019年12月11日至2020年1月29日来自全国31个省(市)共552家医院的1099例确诊新冠肺炎患者。该项研究显示，在1099例患者中，926例为非重症，173例为重症。重症患者的年龄比非重症患者大7岁（中位数）。此外，重症患者有合并症的情况（38.7%）比非重症患者（21.0%）常见。研究得出的中位潜伏期为4天（四分位距，2-7），重度、非重度组新冠患者各有一例患者的潜伏期达24天。不过，团队认为，单纯根据最小、最大值评估人群的潜伏期容易引起误读。值得注意的是，入院时43.8%的患者有发热，但住院期间88.7%有发热。排在其后的最常见症状是咳嗽（67.8%）；恶心或呕吐（5.0%）和腹泻（3.8%）不常见。在整个人群中，23.7%有至少一种合并症（如高血压和慢性阻塞性肺疾病）。（澎湃）             [组图共2张]      原图                             ,无,2020-02-29 16:00,无,22,3,6
IwrE8ExSA,【留守仅余2000人，#横漂吃一个月泡面待复工#】受横店停工影响，留守“横漂”仅剩下2000多人，很多人每天在吃泡面、做直播中度过，甚至有人吃一个月泡面等待剧组复工。有群演透露，停工至今自己体重瘦了10斤，但再难也想坚持下去，“因为演戏是自己的梦想，疫情总会过去的。”据了解，横店剧组仍普遍处于停工状态，一些剧组被迫解散，也有剧组拿到了合作方的中期款，得以保证正常运转。停工期间，演员们在隔离的酒店里扛猫健身、聊剧本、甚至和导演“云对戏”。http://t.cn/A67cvfxk                                 ,无,2020-02-29 15:32,无,35,3,6
IwrtB4zuK,【#美国普通口罩涨价11倍# ， #白宫贸易顾问建议召回在华医药企业#】美国口罩荒加剧，普通口罩涨价11倍。白宫贸易顾问纳瓦罗此前表示，要从中国“召回”4家口罩商，他认为，当疫情发生的时候，“我们没有盟友”，还鼓吹“所有美国的医药公司全部撤离中国”。小央视频的秒拍视频   ,无,2020-02-29 15:06,无,98,32,41
IwrlvyZkc,【#中国世卫组织联合考察报告发布#：新冠病毒是一种动物源性病毒】据国家卫健委官网，《中国-世界卫生组织新型冠状病毒肺炎（COVID-19）联合考察报告》发布：①#新冠病毒中间宿主尚未查明#；②中国新冠肺炎的人际传播主要在家庭中发生；③#新冠肺炎病毒几乎人人易感#，感染后是否具有免疫力需进一步研究；④#患者感染后平均5-6天出现症状#，多数为轻症病可痊愈，重症和死亡高危人群为年龄60岁以上。此外，报告也指出#空气传播非新冠肺炎主要传播方式#。全文链接：http://t.cn/A67cfEDi             [组图共5张]      原图                             ,无,2020-02-29 14:47,无,25,14,6
IwreBrbhj,【TED短片：知名主持人教你如何高质量交谈】我的职业就是跟别人谈话，和诺贝尔奖获得者、卡车司机、 亿万富翁、幼儿园老师、国家元首、水管工们对话。我跟我喜欢的人交谈，也跟我不喜欢的人交谈。在个人层面，有些交谈对象让我实难苟同，但我依然能和他们畅谈一番。我有10条基本规则，我会一条条给你们解释，但说真的，即使你只选了其中一条来熟练掌握，你就已经可以享受更愉快的交谈了。TED短片：知名主持人教你如何高质量交谈                                 ,无,2020-02-29 14:30,微博 weibo.com,267,267,8
Iwr8w6ejD,【#车好多集团宣布全员降薪#30%-50%，暂涉及两个月薪酬】2月28日晚间消息，车好多集团宣布对集团岗位施行阶段性薪酬和假期调整方案，调整暂定涉及2020年2月、3月两个月的薪酬，其中集团P序列、M序列降薪30%，补偿假期13天，集团总监层降薪40%，集团VP层降薪50%。车好多集团解释称，新冠疫情突如其来，用户买卖车、养车意愿降低，疫情防控使得见面率下滑，业务回暖尚需要时日。（新浪科技）                  原图                             ,无,2020-02-29 14:15,微博 weibo.com,25,21,14
Iwr2qr6j4,【贾跃亭向美法院提交破产重组方案核心条款清单】2月29日上午消息，贾跃亭债务处理小组：洛杉矶当地时间2月27日，贾跃亭向美国加州中区破产法院提交经贾跃亭与无担保官方债委会双方同意的破产重组方案核心条款清单。贾跃亭计划于本周提交基于核心条款清单的新版披露声明，并在法院批准披露函后启动投...全文 原图 ,无,2020-02-29 14:00,微博 weibo.com,30,3,13
IwqWlnqdO,【#意大利老奶奶花式劝告预防新冠病毒#】疫情期间勤洗手、少接触、打喷嚏要用手肘挡住，不能亲亲抱抱就眨眼睛，最重要的是不能因为疫情而产生歧视。最后还说如果中国人有需要，自己要寄双倍的美食过来...这个奶奶也太可爱了吧~（YTB：Casa Surace） YouTube精彩视频的微博视频  ,无,2020-02-29 13:45,微博 weibo.com,159,85,20
